period_label,start,end,product_type,forecast_mean_eur_mwh,forecast_p10,forecast_p90,n_hours
2025-W15-base,2025-04-10 21:00:00+00:00,2025-04-14 23:00:00+00:00,base,69.67,31.4,102.08,99
2025-W15-peak,2025-04-11 06:00:00+00:00,2025-04-14 17:00:00+00:00,peak,74.46,31.57,110.11,24
2025-W15-offpeak,2025-04-10 21:00:00+00:00,2025-04-14 23:00:00+00:00,offpeak,68.14,31.35,99.51,75
2025-W16-base,2025-04-15 00:00:00+00:00,2025-04-21 23:00:00+00:00,base,77.8,39.33,110.37,168
2025-W16-peak,2025-04-15 06:00:00+00:00,2025-04-21 17:00:00+00:00,peak,72.8,29.91,108.45,60
2025-W16-offpeak,2025-04-15 00:00:00+00:00,2025-04-21 23:00:00+00:00,offpeak,80.58,44.56,111.43,108
2025-W17-base,2025-04-22 00:00:00+00:00,2025-04-28 23:00:00+00:00,base,70.49,32.02,103.06,168
2025-W17-peak,2025-04-22 06:00:00+00:00,2025-04-28 17:00:00+00:00,peak,66.94,24.05,102.59,60
2025-W17-offpeak,2025-04-22 00:00:00+00:00,2025-04-28 23:00:00+00:00,offpeak,72.47,36.45,103.32,108
2025-W18-base,2025-04-29 00:00:00+00:00,2025-05-05 23:00:00+00:00,base,62.83,24.36,95.39,168
2025-W18-peak,2025-04-29 06:00:00+00:00,2025-05-05 17:00:00+00:00,peak,45.05,2.16,80.69,60
2025-W18-offpeak,2025-04-29 00:00:00+00:00,2025-05-05 23:00:00+00:00,offpeak,72.7,36.69,103.56,108
2025-W19-base,2025-05-06 00:00:00+00:00,2025-05-12 23:00:00+00:00,base,75.61,37.14,108.18,168
2025-W19-peak,2025-05-06 06:00:00+00:00,2025-05-12 17:00:00+00:00,peak,69.41,26.51,105.05,60
2025-W19-offpeak,2025-05-06 00:00:00+00:00,2025-05-12 23:00:00+00:00,offpeak,79.06,43.05,109.92,108
2025-W20-base,2025-05-13 00:00:00+00:00,2025-05-19 23:00:00+00:00,base,69.38,30.91,101.95,168
2025-W20-peak,2025-05-13 06:00:00+00:00,2025-05-19 17:00:00+00:00,peak,45.13,2.24,80.78,60
2025-W20-offpeak,2025-05-13 00:00:00+00:00,2025-05-19 23:00:00+00:00,offpeak,82.85,46.84,113.71,108
2025-W21-base,2025-05-20 00:00:00+00:00,2025-05-26 23:00:00+00:00,base,75.54,37.07,108.11,168
